Date,Sentiment_Score
2024-04-07,0.07019411764705882
2024-04-08,0.026929729729729728
2024-04-09,0.152246875
2024-04-10,0.0993842105263158
2024-04-11,0.049015789473684214
2024-04-12,0.07829866666666667
2024-04-13,0.08865789473684212
2024-04-14,-0.12936666666666666
2024-04-15,0.031540845070422534
2024-04-16,0.11491298701298701
2024-04-17,-0.03312926829268294
2024-04-18,0.07975731707317073
2024-04-19,0.05852317073170731
2024-04-20,0.16756111111111113
2024-04-21,0.16890555555555556
2024-04-22,0.14934868421052633
2024-04-23,0.11424799999999999
2024-04-24,0.1371204301075269
2024-04-25,0.1325577319587629
2024-04-26,0.1649253164556962
2024-04-27,0.17479375
2024-04-28,0.08228437499999999
2024-05-01,0.167548
2024-05-02,0.13307666666666668
2024-05-03,0.14931739130434782
2024-05-04,-0.032966666666666665
2024-05-05,0.08733636363636364
2024-05-06,0.1524409090909091
2024-05-07,0.1836041095890411
2024-05-08,0.16589629629629632
2024-05-09,0.1692657142857143
2024-05-10,0.13801684210526316
2024-05-11,0.14195185185185186
2024-05-12,0.10906666666666667
2024-05-13,0.1500216216216216
2024-05-14,0.16886071428571428
2024-05-15,0.15015227272727272
2024-05-16,0.10936458333333333
2024-05-17,0.0942659090909091
2024-05-18,0.12103783783783784
2024-05-19,0.10574375
2024-05-20,0.016442553191489365
2024-05-21,0.10754642857142858
2024-05-22,0.14333333333333334
2024-05-23,0.11276451612903225
2024-05-24,0.19360246913580248
2024-05-25,0.1374
2024-05-26,0.02412307692307693
2024-05-27,0.0771
2024-05-28,0.1505283950617284
2024-05-29,0.10758243243243243
2024-06-01,0.07194444444444444
2024-06-02,0.07781739130434782
2024-06-03,0.12208181818181818
2024-06-04,0.09807083333333333
2024-06-05,0.14908870967741936
2024-06-06,0.10439186046511628
2024-06-07,0.09877708333333333
2024-06-08,0.09240645161290323
2024-06-09,0.11986000000000001
2024-06-10,0.13979642857142857
2024-07-01,0.15521954022988504
2024-07-02,0.08200277777777779
2024-07-03,0.0680340425531915
2024-07-04,0.18576250000000002
2024-07-05,0.09937826086956521
2024-07-06,0.051427999999999995
2024-07-07,0.05670384615384616
2024-07-08,0.11587682926829267
2024-07-09,0.13809213483146068
2024-07-10,0.09435851063829787
2024-07-11,0.09000526315789473
2024-07-12,0.11807192982456141
2024-08-01,0.15616578947368423
2024-08-02,0.11446796116504855
2024-08-03,0.10706046511627908
2024-08-04,0.13451944444444444
2024-08-05,0.008156310679611652
2024-08-06,0.11849607843137255
2024-08-07,0.1668777777777778
2024-08-08,0.11784027777777778
2024-08-09,0.1925048780487805
2024-08-10,0.05776486486486486
2024-08-11,-0.0017860465116279042
2024-08-12,0.11366
2024-08-13,0.1787764705882353
2024-08-14,0.084125
2024-08-15,0.04782424242424243
2024-08-16,0.18191230769230768
2024-08-17,-0.02029032258064516
2024-08-18,0.11942916666666666
2024-08-19,0.08718255813953488
2024-08-20,0.08675999999999999
